module_id,service_index,service,method_index,method,request_type,response_type,flow_role,request_live_count,response_live_count,total_live_count,live_directions,evidence_status,source_session
clubs,0,AppServer,59,ClubWallGet,Casino.ClubsProto.ClubWallGetRequest,Casino.ClubsProto.ClubWallGetResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,0,AppServer,60,ClubWallRead,Casino.ClubsProto.ClubWallReadRequest,Casino.ClubsProto.ClubWallReadResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,0,AppServer,61,ClubWallCollectBonus,Casino.ClubsProto.ClubWallCollectBonusRequest,Casino.ClubsProto.ClubWallCollectBonusResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,0,AppServer,62,ClubWallPost,Casino.ClubsProto.ClubWallPostRequest,Casino.ClubsProto.ClubWallPostResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,0,AppServer,63,ClubLeaguesInfo,Casino.EmptyRequest,Casino.ClubsProto.ClubLeaguesInfoResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,0,AppServer,73,ClubWallSetFilter,Casino.ClubsProto.ClubWallSetFilterRequest,Casino.ClubsProto.ClubWallSetFilterResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,0,AppServer,77,ClubWallGetJackpotBonusDetails,Casino.ClubsProto.ClubWallGetJackpotBonusDetailsRequest,Casino.ClubsProto.ClubWallGetJackpotBonusDetailsResponse,client request -> server response/update,0,0,0,,schema-only,
clubs,1,AppClient,19,ClubNotification,Casino.ClubsProto.ClubNotificationRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
clubs,1,AppClient,20,ClubJoined,Casino.ClubsProto.ClubJoinedRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
clubs,1,AppClient,21,ClubInvitation,Casino.ClubsProto.ClubInvitationRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
clubs,1,AppClient,22,ClubSeason,Casino.ClubsProto.ClubSeason,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
clubs,1,AppClient,24,ClubEventsUpdate,Casino.ClubsProto.ClubEventsUpdate,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
collection,0,AppServer,80,GetCollectiblesThemeStatus,Casino.GetCollectiblesThemeStatusRequest,Casino.GetCollectiblesThemeStatusResponse,client request -> server response/update,0,0,0,,schema-only,
collection,0,AppServer,83,CollectiblesBoxOpen,Casino.CollectiblesBoxOpenRequest,Casino.CollectiblesBoxOpenResponse,client request -> server response/update,0,0,0,,schema-only,
collection,0,AppServer,84,CollectiblesBoxReraffle,Casino.CollectiblesBoxReraffleRequest,Casino.CollectiblesBoxReraffleResponse,client request -> server response/update,0,0,0,,schema-only,
collection,0,AppServer,128,GetClubSetThemeStatus,Casino.GetClubSetThemeStatusRequest,Casino.GetClubSetThemeStatusResponse,client request -> server response/update,0,0,0,,schema-only,
collection,0,AppServer,129,ClubSetTutorialProgress,Casino.ClubSetTutorialProgressRequest,Casino.ClubSetTutorialProgressResponse,client request -> server response/update,0,0,0,,schema-only,
collection,0,AppServer,130,ClubSetCollectItems,Casino.ClubSetCollectItemsRequest,Casino.ClubSetCollectItemsResponse,client request -> server response/update,0,0,0,,schema-only,
collection,1,AppClient,45,UpdateClubSetProgress,Casino.UpdateClubSetProgressRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
conquest,0,AppServer,94,UpdateConquestTile,Casino.EmptyRequest,Casino.ConquestTileUpdateResponse,client request -> server response/update,0,0,0,,schema-only,
conquest,0,AppServer,95,UpdateConquestArena,Casino.EmptyRequest,Casino.ConquestArenaUpdateResponse,client request -> server response/update,0,0,0,,schema-only,
conquest,0,AppServer,96,UpdateConquestSlot,Casino.EmptyRequest,Casino.ConquestSlotUpdateResponse,client request -> server response/update,0,0,0,,schema-only,
conquest,0,AppServer,97,FetchConquestSummary,Casino.ConquestSummaryRequest,Casino.ConquestSummaryResponse,client request -> server response/update,0,0,0,,schema-only,
conquest,0,AppServer,98,FetchConquestSummaryDetails,Casino.ConquestSummaryDetailsRequest,Casino.ConquestSummaryDetailsResponse,client request -> server response/update,0,0,0,,schema-only,
conquest,1,AppClient,36,AddConquestMissedInfo,Casino.LoginResponse.MissedInfo.ConquestMissedInfo,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
contact_point,0,AppServer,117,ContactPointFtueInteraction,Casino.ContactPointFtueInteractionRequest,Casino.EmptyResponse,client request -> server response/update,0,0,0,,schema-only,
contact_point,30,ContactPointClient,0,ContactPointUpdate,Casino.ContactPointUpdateRequest,Casino.EmptyResponse,server update/request -> client response/ack,0,0,0,,schema-only,
economy,3,GameServer,2,PlayerUpdateChips,Casino.UpdateChipsRequest,Casino.UpdateChipsResponse,client request -> server response/update,0,0,0,,schema-only,
economy,3,GameServer,8,PlayerGetChips,Casino.PlayerGetChipsRequest,Casino.PlayerGetChipsResponse,client request -> server response/update,0,0,0,,schema-only,
elites,31,ElitesServer,0,ElitesGetData,Casino.ElitesGetDataRequest,Casino.ElitesGetDataResponse,client request -> server response/update,0,0,0,,schema-only,
elites,31,ElitesServer,1,ElitesGetLeaderboard,Casino.ElitesGetLeaderboardRequest,Casino.ElitesGetLeaderboardResponse,client request -> server response/update,0,0,0,,schema-only,
