domain,service,method,payload_type,field_path,value_type,messages_seen
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box_info.highest_guaranteed_rarity_items_count,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.collectibles_box_info.items_count,integer,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.d2c_chips.value,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.extra_item_boost.time.duration,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.extra_item_boost.time.expire_time,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.extra_item_boost.time.value,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.extra_item_boost.type,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.id,integer,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopRequest,shop_promotion.promo_iap[].promo_reward[].reward.loyalty_points,string,8
offers/economy,AppClient,UpdateShop,Casino.UpdateShopResponse,identifier.config_id,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopResponse,identifier.flags,string,12
offers/economy,AppClient,UpdateShop,Casino.UpdateShopResponse,status,string,12
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkRequest,request[].bundle_id,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].id,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].item[].source,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].item[].type,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].item[].value,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].metadata[].key,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].metadata[].value,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,bundle[].source,string,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,state_info.extra_items.extra_items[].type,integer,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,state_info.extra_items.extra_items[].value[].level.levels_amount,integer,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,state_info.extra_items.extra_items[].value[].level.target_level,integer,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,state_info.extra_items.extra_items[].value[].level.value,integer,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,state_info.extra_items.extra_items[].value[].type,integer,1
offers/economy,AppServer,ClaimRewardBundleBulk,Casino.ClaimRewardBundleBulkResponse,status,string,1
offers/economy,AppServer,CollectFreeDiamonds,Casino.CollectFreeDiamondsResponse,status,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,mystery_pending_rewards,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,mystery_reward_level,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.level,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].big_chips_delta.value,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].charms_trade_token_delta,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].chips_delta,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box.box_id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box.box_type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box.raffle_id,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box.source,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box.theme_id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box.type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box_info.box_id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box_info.box_type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box_info.event_type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box_info.highest_guaranteed_rarity,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box_info.highest_guaranteed_rarity_items_count,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].collectibles_box_info.items_count,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,next_mystery_reward.rewards[].mystery_reward_level,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].big_chips_delta.value,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].charms_trade_token_delta,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].chips_delta,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box.box_id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box.box_type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box.raffle_id,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box.source,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box.theme_id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box.type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box_info.box_id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box_info.box_type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box_info.event_type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box_info.highest_guaranteed_rarity,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box_info.highest_guaranteed_rarity_items_count,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].collectibles_box_info.items_count,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].id,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.reward[].mystery_reward_level,string,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.state_info.extra_items.extra_items[].type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.state_info.extra_items.extra_items[].value[].level.levels_amount,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.state_info.extra_items.extra_items[].value[].level.target_level,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.state_info.extra_items.extra_items[].value[].level.value,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,rewards_data.state_info.extra_items.extra_items[].value[].type,integer,1
offers/economy,AppServer,CollectMysteryReward,Casino.CollectMysteryRewardResponse,status,string,5
offers/economy,AppServer,CollectShopBonus,Casino.CollectShopBonusResponse,chips_delta.value,string,1
offers/economy,AppServer,CollectShopBonus,Casino.CollectShopBonusResponse,shop_bonus_timer,integer,1
offers/economy,AppServer,CollectShopBonus,Casino.CollectShopBonusResponse,status,string,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,big_chips_value.value,string,2
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,checkout_localization_data,object,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,chips_value,string,2
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,diamonds_value,string,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,local_currency_code,string,1
offers/economy,AppServer,MakeInAppPurchase,Casino.MakeInAppPurchaseRequest,mode,string,2
